OTU	Phylum	Class	Order	Family	Genus	Species
OTU552	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	Cryptococcus	unclassified
OTU553	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_fam_Incertae_sedis	Rhodotorula	Rhodotorula_mucilaginosa
OTU554	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	unclassified_Chionosphaeraceae	Chionosphaeraceae_sp
OTU555	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	Leptosphaeria_maculans
OTU556	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Hansfordia	Hansfordia_pulvinata
OTU557	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU558	Ascomycota	Sordariomycetes	Sordariomycetidae_ord_Incertae_sedis	Glomerellaceae	Colletotrichum	Colletotrichum_cliviae
OTU559	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU560	Basidiomycota	Tremellomycetes	unclassified	unclassified	unclassified	unclassified
OTU561	Basidiomycota	Agaricomycetes	Agaricales	Typhulaceae	Typhula	unclassified
OTU562	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU563	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	unclassified_Cucurbitariaceae	Cucurbitariaceae_sp
OTU564	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	unclassified	unclassified
OTU565	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Taphrina_pruni
OTU566	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Sawadaea	Sawadaea_tulasnei
OTU567	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU568	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Cyberlindnera	Cyberlindnera_jadinii
OTU569	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU570	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	unclassified	unclassified
OTU572	Basidiomycota	Exobasidiomycetes	Exobasidiomycetidae_ord_Incertae_sedis	Exobasidiomycetidae_fam_Incertae_sedis	Tilletiopsis	Tilletiopsis_washingtonensis
OTU573	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU574	Ascomycota	Sordariomycetes	Sordariomycetidae_ord_Incertae_sedis	Apiosporaceae	Arthrinium	unclassified
OTU575	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	Ustilago_striiformis
OTU576	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU577	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU586	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	unclassified
OTU594	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
OTU603	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	unclassified	unclassified
OTU605	Ascomycota	Dothideomycetes	Capnodiales	unclassified	unclassified	unclassified
OTU612	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Cyberlindnera	Cyberlindnera_jadinii
OTU623	Basidiomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU631	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	unclassified	unclassified
OTU632	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU664	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
